,timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,ratings_in_person_class,in_person_effectiveness_lecture,in_person_effectiveness_tutorial,in_person_effectiveness_project,in_person_effectiveness_lab,in_person_effectiveness_presentation,in_person_effectiveness_exam,in_person_academic_impacts,in_person_mental_impacts,ratings_online_class,online_learning_tools_preferred,online_effectiveness_lecture,online_effectiveness_tutorial,online_effectiveness_project,online_effectiveness_lab,online_effectiveness_presentation,online_effectiveness_exam,online_academic_impacts,online_mental_impacts,preferred_learning_mode,additional_thoughts,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool,Direct interaction with lecturers,Easier to ask questions and get immediate feedback,Better engagement and focus,Opportunities for face-to-face collaboration with peers,"Access to university facilities (labs, library, etc.)",Clearer separation between study and personal life,Better for practical/lab-based subjects,Stronger sense of community with classmates,Fewer technical issues,Commuting time and costs,Fixed class schedules (less flexibility),Less comfortable learning environment (compared to home),Pace of learning may not suit everyone,Large class sizes can be intimidating,Health concerns (especially post-pandemic),Limited access to recorded lectures,Flexibility in schedule,Learn at your own pace,Comfort of learning from home/anywhere,Reduced commuting time and costs,Access to recorded lectures and materials,Development of digital literacy skills,"Easier to manage studies alongside other commitments (e.g., part-time work)",More accessible for students with disabilities or health issues,Variety of online learning tools and resources,"Technical issues (internet, software, hardware)",Lack of face-to-face interaction with lecturers and peers,Difficulty maintaining focus and motivation,Sense of isolation,Challenges with practical/lab-based subjects,Blurred lines between study and personal life,Concerns about assessment integrity,Digital fatigue/eye strain,Requires strong self-discipline,Prefer_in_person_Lecture,Prefer_in_person_Tutorials,Prefer_in_person_Project,Prefer_in_person_Lab,Prefer_in_person_Presentations,Prefer_in_person_Exam,Not_prefer_in_person,Prefer_online_Lecture,Prefer_online_Tutorials,Prefer_online_Project,Prefer_online_Lab,Prefer_online_Presentations,Prefer_online_Exam,Not_prefer_online
0,2025-05-25 20:33:37.080,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",3,3,3,4,4,3,4,4,3,5,Google Meet,4,4,2,1,4,3,4,4,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False
1,2025-05-25 20:56:27.006,25 - 29,Female,1st Year,Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",4,3,3,2,3,3,3,3,3,3,Microsoft Teams,3,2,2,3,2,2,2,2,Hybrid / Blended - a mix of online and in-person,,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
2,2025-05-25 21:12:13.068,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",4,3,3,3,3,3,3,2,2,5,Microsoft Teams,3,3,3,3,3,3,4,4,Fully Online,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
3,2025-05-25 21:34:37.205,30 - 34,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,Under 15 min,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,3,3,3,3,4,1,3,2,4,Microsoft Teams,3,3,2,3,3,4,3,2,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False
4,2025-05-25 21:54:29.694,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",3,2,2,3,3,2,3,2,2,3,Microsoft Teams,3,1,3,2,4,2,3,3,Hybrid / Blended - a mix of online and in-person,,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
5,2025-05-25 22:08:33.452,30 - 34,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,1 hr+,Part-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",3,2,3,2,4,3,2,3,3,4,Microsoft Teams,3,2,2,3,3,4,3,3,Hybrid / Blended - a mix of online and in-person,"As I travel by public transport, I sometimes find it a bit troublesome to attend in-person class. However, some lecturers do take effort to make the face-to-face interaction engaging and hence worth coming. I find online class more convenient but I sometimes struggle with lab training when studying remotely.",False,False,False,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False
6,2025-05-25 22:30:24.444,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,3,3,3,2,2,3,3,3,4,Microsoft Teams,4,3,3,3,4,3,3,3,Hybrid / Blended - a mix of online and in-person,,True,False,False,True,False,False,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False
7,2025-05-25 23:04:52.294,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",5,4,4,4,4,4,4,4,3,5,Microsoft Teams,4,3,3,2,4,4,4,3,Hybrid / Blended - a mix of online and in-person,"Hybrid methods is ideal as both online and in-person method have its own pros and cons. By experiencing both methods, physical class can make the connection with lecturers and classmates become much closer. While online classes has its own flexibility where students can learn at their own pace.",True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False
8,2025-05-25 23:46:48.385,35 - 39,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",4,3,3,3,3,3,3,3,3,4,Microsoft Teams,3,3,3,3,3,3,3,3,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
9,2025-05-26 08:32:58.067,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Part-time student,Yes,More than 30 hours per week,Fully Online,4,"Yes, consistently",4,4,3,3,3,3,3,3,3,4,Microsoft Teams,3,4,3,3,4,4,4,4,Fully Online,,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False
