Activity,MLA Name,Accuracy,Precision,Recall,F1-Score
Exam,Perceptron,0.75,0.75,0.75,0.75
Exam,GradientBoostingClassifier,0.6875,0.6854166666666666,0.6875,0.6837044534412955
Exam,ExtraTreesClassifier,0.6875,0.703125,0.6875,0.6672077922077921
Exam,RidgeClassifierCV,0.6875,0.703125,0.6875,0.6672077922077921
Exam,LogisticRegressionCV,0.625,0.625,0.625,0.625
Exam,LinearSVC,0.625,0.625,0.625,0.625
Exam,DecisionTreeClassifier,0.625,0.6448412698412699,0.625,0.625
Exam,LinearDiscriminantAnalysis,0.625,0.625,0.625,0.625
Exam,GaussianNB,0.625,0.6886363636363636,0.625,0.613095238095238
Exam,KNeighborsClassifier,0.625,0.6204545454545455,0.625,0.6125
Exam,BaggingClassifier,0.625,0.6378205128205128,0.625,0.5840909090909091
Exam,BernoulliNB,0.625,0.6378205128205128,0.625,0.5840909090909091
Exam,PassiveAggressiveClassifier,0.5625,0.5703125,0.5625,0.5642156862745098
Exam,RandomForestClassifier,0.5625,0.546875,0.5625,0.5340909090909091
Exam,ExtraTreeClassifier,0.5,0.5,0.5,0.5
Exam,AdaBoostClassifier,0.5625,0.5401785714285714,0.5625,0.48852657004830913
Exam,SVC,0.5,0.4487179487179487,0.5,0.4454545454545455
Exam,QuadraticDiscriminantAnalysis,0.4375,0.19140625,0.4375,0.266304347826087
Lab,LinearDiscriminantAnalysis,0.6666666666666666,0.738095238095238,0.6666666666666666,0.6757164404223228
Lab,BaggingClassifier,0.6666666666666666,0.6851851851851852,0.6666666666666666,0.6730462519936203
Lab,GradientBoostingClassifier,0.6666666666666666,0.6851851851851852,0.6666666666666666,0.6730462519936203
Lab,RandomForestClassifier,0.6666666666666666,0.6851851851851852,0.6666666666666666,0.6730462519936203
Lab,AdaBoostClassifier,0.6,0.6428571428571428,0.6,0.611111111111111
Lab,ExtraTreesClassifier,0.6,0.6428571428571428,0.6,0.611111111111111
Lab,KNeighborsClassifier,0.6,0.6428571428571428,0.6,0.611111111111111
Lab,DecisionTreeClassifier,0.6,0.6,0.6,0.6
Lab,ExtraTreeClassifier,0.6,0.6,0.6,0.6
Lab,QuadraticDiscriminantAnalysis,0.6,0.5555555555555555,0.6,0.5681818181818182
Lab,BernoulliNB,0.5333333333333333,0.5555555555555555,0.5333333333333333,0.5422647527910686
Lab,Perceptron,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.5333333333333333
Lab,GaussianNB,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.5333333333333333
Lab,SVC,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
Lab,LinearSVC,0.5333333333333333,0.5075757575757576,0.5333333333333333,0.5185185185185185
Lab,PassiveAggressiveClassifier,0.6,0.4285714285714286,0.6,0.5
Lab,LogisticRegressionCV,0.5333333333333333,0.4102564102564103,0.5333333333333333,0.463768115942029
Lab,RidgeClassifierCV,0.5333333333333333,0.4102564102564103,0.5333333333333333,0.463768115942029
Lecture,LinearSVC,0.7647058823529411,0.7892156862745098,0.7647058823529411,0.7663398692810458
Lecture,LinearDiscriminantAnalysis,0.7647058823529411,0.7892156862745098,0.7647058823529411,0.7663398692810458
Lecture,AdaBoostClassifier,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
Lecture,RidgeClassifierCV,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
Lecture,ExtraTreeClassifier,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
Lecture,SVC,0.7647058823529411,0.8319327731092436,0.7647058823529411,0.7372549019607844
Lecture,BaggingClassifier,0.7058823529411765,0.7512605042016807,0.7058823529411765,0.7058823529411765
Lecture,Perceptron,0.7058823529411765,0.7512605042016807,0.7058823529411765,0.7058823529411765
Lecture,KNeighborsClassifier,0.7058823529411765,0.7160633484162896,0.7058823529411765,0.684956986747268
Lecture,ExtraTreesClassifier,0.6470588235294118,0.6699346405228759,0.6470588235294118,0.6495098039215685
Lecture,GradientBoostingClassifier,0.6470588235294118,0.6699346405228759,0.6470588235294118,0.6495098039215685
Lecture,BernoulliNB,0.6470588235294118,0.6392156862745099,0.6470588235294118,0.6336898395721926
Lecture,RandomForestClassifier,0.5882352941176471,0.6260504201680672,0.5882352941176471,0.5882352941176471
Lecture,LogisticRegressionCV,0.5882352941176471,0.34602076124567477,0.5882352941176471,0.43572984749455335
Lecture,GaussianNB,0.5882352941176471,0.34602076124567477,0.5882352941176471,0.43572984749455335
Lecture,QuadraticDiscriminantAnalysis,0.5882352941176471,0.34602076124567477,0.5882352941176471,0.43572984749455335
Lecture,DecisionTreeClassifier,0.4117647058823529,0.4313725490196078,0.4117647058823529,0.4158496732026144
Lecture,PassiveAggressiveClassifier,0.47058823529411764,0.7683823529411765,0.47058823529411764,0.35759125784701234
Presentations,SVC,0.8333333333333334,0.8416666666666667,0.8333333333333334,0.834920634920635
Presentations,KNeighborsClassifier,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
Presentations,LinearSVC,0.7222222222222222,0.7281746031746033,0.7222222222222222,0.7010101010101011
Presentations,AdaBoostClassifier,0.7222222222222222,0.8090277777777778,0.7222222222222222,0.6707818930041152
Presentations,BaggingClassifier,0.6666666666666666,0.6564102564102564,0.6666666666666666,0.6527777777777778
Presentations,BernoulliNB,0.6666666666666666,0.6564102564102564,0.6666666666666666,0.6527777777777778
Presentations,ExtraTreeClassifier,0.6666666666666666,0.6564102564102564,0.6666666666666666,0.6527777777777778
Presentations,RidgeClassifierCV,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6256410256410256
Presentations,Perceptron,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6256410256410256
Presentations,LinearDiscriminantAnalysis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6256410256410256
Presentations,DecisionTreeClassifier,0.6111111111111112,0.6222222222222222,0.6111111111111112,0.6148148148148148
Presentations,ExtraTreesClassifier,0.6111111111111112,0.6018518518518517,0.6111111111111112,0.6046079524340394
Presentations,RandomForestClassifier,0.6111111111111112,0.6018518518518517,0.6111111111111112,0.6046079524340394
Presentations,GradientBoostingClassifier,0.6111111111111112,0.5873015873015874,0.6111111111111112,0.5814141414141414
Presentations,LogisticRegressionCV,0.6111111111111112,0.5873015873015874,0.6111111111111112,0.5814141414141414
Presentations,PassiveAggressiveClassifier,0.6111111111111112,0.37345679012345684,0.6111111111111112,0.46360153256704983
Presentations,GaussianNB,0.4444444444444444,0.7712418300653595,0.4444444444444444,0.3287037037037037
Presentations,QuadraticDiscriminantAnalysis,0.3888888888888889,0.15123456790123457,0.3888888888888889,0.2177777777777778
Project,Perceptron,0.7647058823529411,0.7507002801120448,0.7647058823529411,0.744343891402715
Project,KNeighborsClassifier,0.7058823529411765,0.7245989304812834,0.7058823529411765,0.7128574750058126
Project,LinearSVC,0.7058823529411765,0.7245989304812834,0.7058823529411765,0.7128574750058126
Project,DecisionTreeClassifier,0.7058823529411765,0.7245989304812834,0.7058823529411765,0.7128574750058126
