timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool
33:37.1,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
56:27.0,25 - 29,Female,1st Year,Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12:13.1,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
34:37.2,30 - 34,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,Under 15 min,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
54:29.7,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
08:33.5,30 - 34,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,1 hr+,Part-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
30:24.4,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
04:52.3,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
46:48.4,35 - 39,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32:58.1,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Part-time student,Yes,More than 30 hours per week,Fully Online,4,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
